time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.48 0.52 1.0 0.64587879901062
200 2.8880484280990055 0.85 0.15 0.25882352941176473 1.0282045878666688
300 2.195353615467453 0.77 0.23 0.2987012987012987 0.9302288436530651
400 2.873469652232987 0.83 0.17 0.1686746987951807 1.1505009206245536
500 2.707980632824394 0.84 0.16 0.16666666666666666 1.0997344244010523
600 3.2631770974732595 0.83 0.17 0.13253012048192772 1.0329741085615298
700 3.9660211276976622 0.76 0.24 0.23684210526315788 0.8146801880207284
800 5.702435739104348 0.81 0.19 0.08641975308641975 0.9106869829131385
900 5.756435482974578 0.73 0.27 0.136986301369863 0.8570808480543864
1000 6.879008432362448 0.76 0.24 0.13157894736842105 0.8630442563132533
1100 7.668596876622074 0.79 0.21 0.08860759493670886 0.9061867615040272
1200 8.194771657962699 0.8 0.2 0.0625 0.9324332817406924
1300 8.946095756643725 0.76 0.24 0.11842105263157894 0.8770532202130031
1400 10.716191950076196 0.73 0.27 0.136986301369863 0.8607434890235782
1500 12.371717886809504 0.72 0.28 0.09722222222222222 0.8994496855702949
1600 13.54050484813663 0.8 0.2 0.15 0.845933326420603
1700 16.729072439125098 0.78 0.22 0.11538461538461539 0.87972625184837
1800 19.24691008216417 0.76 0.24 0.13157894736842105 0.8598433993510867
1900 25.21973340812483 0.74 0.26 0.14864864864864866 0.8482364981136056
