time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.87 0.13 10 inf
200 3.179569080034655 0.27 0.73 10 inf
300 2.0121396015064312 0.4 0.6 5 inf
400 2.9544099476985615 0.16 0.84 5 inf
500 2.430528741242414 0.47 0.53 2 inf
600 4.826228575603943 0.21 0.79 2 inf
700 3.7078539735456633 0.25 0.75 1 inf
800 5.785498883856305 0.14 0.86 1 3
900 5.8973932442710835 0.12 0.88 1 3
1000 6.676737221415739 0.14 0.86 1 3
1100 8.041470010892665 0.17 0.83 1 3
1200 8.670573052444068 0.23 0.77 1 3
1300 10.979298352958867 0.1 0.9 1 3
1400 10.66692548515985 0.16 0.84 1 3
1500 12.121715966861037 0.11 0.89 1 3
1600 14.141568174188684 0.11 0.89 1 3
1700 15.740994029778172 0.08 0.92 1 3
1800 19.382483999059925 0.1 0.9 1 3
1900 25.07015853272017 0.08 0.92 1 3
