time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.88 0.12 10 inf
200 3.1051245128654177 0.37 0.63 10 inf
300 2.247271075647231 0.38 0.62 10 inf
400 2.6272684267068636 0.37 0.63 10 inf
500 3.0558112352402698 0.37 0.63 10 inf
600 3.792208912503126 0.07 0.93 10 inf
700 2.9434604903529134 0.37 0.63 5 inf
800 4.558092811617452 0.04 0.96 5 inf
900 3.5877667381336296 0.36 0.64 2 inf
1000 6.749801645724277 0.14 0.86 2 inf
1100 6.451805702068182 0.18 0.82 1 inf
1200 8.773419383829403 0.15 0.85 1 3
1300 9.324009800924417 0.1 0.9 1 3
1400 10.492588326820975 0.11 0.89 1 3
1500 11.63673925519616 0.1 0.9 1 3
1600 13.815192631810312 0.12 0.88 1 3
1700 16.48645976479818 0.1 0.9 1 3
1800 19.645556275770012 0.14 0.86 1 3
1900 25.419726842716763 0.19 0.81 1 3
