time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.51 0.49 1.0 0.5503275786928589
200 3.3894889561152555 0.92 0.08 0.08695652173913043 1.2503201260007186
300 1.8053557744714865 0.78 0.22 0.32051282051282054 1.0329274137329156
400 2.587775594229723 0.78 0.22 0.23076923076923078 0.9462241704354574
500 3.292596309037573 0.84 0.16 0.17857142857142858 1.1043185626907184
600 3.2496313185794943 0.74 0.26 0.35135135135135137 0.7445313471687045
700 5.502517999408542 0.89 0.11 0.07865168539325842 1.1430889102574042
800 4.064129551448038 0.77 0.23 0.15584415584415584 0.8437360833670814
900 6.2132116495526235 0.8 0.2 0.15 0.8451507026780665
1000 6.976112499581422 0.78 0.22 0.07692307692307693 0.9171149522525129
1100 7.21647648650284 0.76 0.24 0.11842105263157894 0.8773086304673197
1200 8.46451674143291 0.8 0.2 0.175 0.8214467480331745
1300 10.154812159286692 0.68 0.32 0.14705882352941177 0.8487664126385561
1400 11.073330092100823 0.79 0.21 0.13924050632911392 0.8542783563542284
1500 12.465346382593172 0.75 0.25 0.14666666666666667 0.8495140199740063
1600 14.336435352170176 0.82 0.18 0.13414634146341464 0.8606279537214802
1700 16.443435093139158 0.78 0.22 0.1282051282051282 0.8678016294142594
1800 19.51138542765067 0.75 0.25 0.13333333333333333 0.8612618228453333
1900 25.17819869540931 0.75 0.25 0.08 0.9155460162473954
