time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.91 0.09 10 inf
200 3.5061287481163053 0.34 0.66 10 inf
300 2.327186177298522 0.46 0.54 10 inf
400 3.249587357998009 0.05 0.95 10 inf
500 2.139594716398771 0.32 0.68 5 inf
600 3.1058436121184125 0.21 0.79 5 inf
700 3.895501996482465 0.35 0.65 2 inf
800 5.047211148562529 0.18 0.82 2 inf
900 5.033914899826792 0.12 0.88 1 inf
1000 6.89234330447742 0.15 0.85 1 3
1100 7.431707433579261 0.12 0.88 1 3
1200 8.27709057645638 0.09 0.91 1 3
1300 9.411217352213496 0.12 0.88 1 3
1400 10.496842209677704 0.17 0.83 1 3
1500 12.424246310582125 0.07 0.93 1 3
1600 13.155742634081097 0.11 0.89 1 3
1700 16.28443128616292 0.14 0.86 1 3
1800 19.872256552214463 0.15 0.85 1 3
1900 24.793784316699817 0.13 0.87 1 3
