time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.018713791593928285 1.1428571428571428 1.161570934451071
200 0.018428398154139308 1.0 1.0184283981541393
300 0.018428398154477894 1.0 1.018428398154478
400 0.018428398154359763 1.0 1.0184283981543598
500 0.018428398155476092 1.0 1.018428398155476
600 0.01842839815489674 1.0 1.0184283981548967
700 0.0184283981551904 1.0 1.0184283981551905
800 0.01842839815464158 1.0 1.0184283981546416
900 0.016617609878528592 1.1428571428571428 1.1594747527356712
1000 0.01842839815441699 1.0 1.0184283981544169
1100 0.018428398154139373 1.0 1.0184283981541393
1200 0.018428398154277686 1.0 1.0184283981542777
1300 0.018428398154303294 1.0 1.0184283981543032
1400 0.018428398154274002 1.0 1.0184283981542739
1500 0.018428398154129517 1.0 1.0184283981541296
1600 0.01842839815426719 1.0 1.0184283981542672
1700 0.01842839815425772 1.0 1.0184283981542577
1800 0.01842839815426834 1.0 1.0184283981542683
1900 0.01842839815411238 1.0 1.0184283981541122
