time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.88 0.12 10 inf
200 2.8880484280990055 0.33 0.67 10 inf
300 2.195353615467453 0.35 0.65 10 inf
400 2.873469652232987 0.25 0.75 10 inf
500 2.707980632824394 0.27 0.73 5 inf
600 3.2631770974732595 0.25 0.75 2 inf
700 3.9660211276976622 0.31 0.69 1 inf
800 5.702435739104348 0.11 0.89 1 inf
900 5.756435482974578 0.16 0.84 1 3
1000 6.879008432362448 0.13 0.87 1 3
1100 7.668596876622074 0.07 0.93 1 3
1200 8.194771657962699 0.07 0.93 1 3
1300 8.946095756643725 0.09 0.91 1 3
1400 10.716191950076196 0.16 0.84 1 3
1500 12.371717886809504 0.1 0.9 1 3
1600 13.54050484813663 0.13 0.87 1 3
1700 16.729072439125098 0.12 0.88 1 3
1800 19.24691008216417 0.13 0.87 1 3
1900 25.21973340812483 0.12 0.88 1 3
