time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.9 0.1 10 inf
200 3.3894889561152555 0.16 0.84 10 inf
300 1.8053557744714865 0.38 0.62 5 inf
400 2.587775594229723 0.37 0.63 5 inf
500 3.292596309037573 0.27 0.73 5 inf
600 3.2496313185794943 0.44 0.56 2 inf
700 5.502517999408542 0.12 0.88 2 inf
800 4.064129551448038 0.16 0.84 1 inf
900 6.2132116495526235 0.14 0.86 1 3
1000 6.976112499581422 0.09 0.91 1 3
1100 7.21647648650284 0.11 0.89 1 3
1200 8.46451674143291 0.19 0.81 1 3
1300 10.154812159286692 0.13 0.87 1 3
1400 11.073330092100823 0.13 0.87 1 3
1500 12.465346382593172 0.19 0.81 1 3
1600 14.336435352170176 0.12 0.88 1 3
1700 16.443435093139158 0.13 0.87 1 3
1800 19.51138542765067 0.11 0.89 1 3
1900 25.17819869540931 0.08 0.92 1 3
