time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.01714742639509969 1.1428571428571428 1.1600045692522425
200 0.0184283981548519 1.0 1.0184283981548519
300 0.018428398154690228 1.0 1.0184283981546902
400 0.01842839815501721 1.0 1.0184283981550173
500 0.018713791594188695 1.1428571428571428 1.1615709344513316
600 0.018428398154233246 1.0 1.0184283981542332
700 0.018428398156561224 1.0 1.0184283981565612
800 0.0184283981542766 1.0 1.0184283981542765
900 0.018428398154095586 1.0 1.0184283981540956
1000 0.01842839815412679 1.0 1.018428398154127
1100 0.01842839815427097 1.0 1.018428398154271
1200 0.018428398154783705 1.0 1.0184283981547837
1300 0.018428398154086693 1.0 1.0184283981540867
1400 0.01842839815407121 1.0 1.0184283981540712
1500 0.01842839815465544 1.0 1.0184283981546554
1600 0.01842839815411273 1.0 1.0184283981541127
1700 0.018428398154189812 1.0 1.01842839815419
1800 0.018428398154268423 1.0 1.0184283981542683
1900 0.018428398154737614 1.0 1.0184283981547375
