time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.53 0.47 1.0 0.5866610233248223
200 3.179569080034655 0.86 0.14 0.19767441860465115 1.1218270629549554
300 2.0121396015064312 0.76 0.24 0.34210526315789475 0.904743891060575
400 2.9544099476985615 0.9 0.1 0.1 1.281833931124533
500 2.430528741242414 0.73 0.27 0.3424657534246575 0.7435678047137207
600 4.826228575603943 0.83 0.17 0.08433734939759036 1.1048971097969353
700 3.7078539735456633 0.77 0.23 0.2077922077922078 0.8029837207423504
800 5.785498883856305 0.76 0.24 0.11842105263157894 0.8889200101107049
900 5.8973932442710835 0.72 0.28 0.1111111111111111 0.8830460426196494
1000 6.676737221415739 0.76 0.24 0.17105263157894737 0.8230259491592319
1100 8.041470010892665 0.72 0.28 0.1388888888888889 0.8564593764538966
1200 8.670573052444068 0.72 0.28 0.2361111111111111 0.7597605199321102
1300 10.979298352958867 0.71 0.29 0.11267605633802817 0.8811039948962524
1400 10.66692548515985 0.77 0.23 0.11688311688311688 0.8784957219110113
1500 12.121715966861037 0.74 0.26 0.13513513513513514 0.8612201050198075
1600 14.141568174188684 0.84 0.16 0.09523809523809523 0.8990334326783147
1700 15.740994029778172 0.83 0.17 0.12048192771084337 0.8735728643999452
1800 19.382483999059925 0.77 0.23 0.12987012987012986 0.8649734414749766
1900 25.07015853272017 0.71 0.29 0.08450704225352113 0.9120915946300581
