time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.89 0.11 10 inf
200 2.2954500068016803 0.35 0.65 10 inf
300 2.134618855624047 0.41 0.59 10 inf
400 2.7660510680796566 0.14 0.86 10 inf
500 2.386132639579426 0.22 0.78 5 inf
600 2.8864013059693803 0.29 0.71 2 inf
700 3.9653428250020175 0.32 0.68 1 inf
800 6.131764376114651 0.17 0.83 1 inf
900 5.95406452877856 0.13 0.87 1 3
1000 7.040798869904835 0.15 0.85 1 3
1100 7.7193761701557 0.09 0.91 1 3
1200 8.490211240996217 0.11 0.89 1 3
1300 9.12844287795006 0.18 0.82 1 3
1400 11.379087196667538 0.19 0.81 1 3
1500 13.205131997096322 0.15 0.85 1 3
1600 13.944907837437656 0.12 0.88 1 3
1700 16.330633047780818 0.09 0.91 1 3
1800 19.795991248823654 0.05 0.95 1 3
1900 23.364242201985945 0.13 0.87 1 3
