time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.81 0.19 10 inf
200 2.6664431873949512 0.47 0.53 10 inf
300 2.3468624440749277 0.26 0.74 10 inf
400 2.510211117716186 0.32 0.68 5 inf
500 2.78747210721058 0.24 0.76 5 inf
600 3.2912638926280895 0.26 0.74 2 inf
700 4.0451073437220675 0.3 0.7 1 inf
800 5.690726820018336 0.39 0.61 1 inf
900 7.809095529518075 0.24 0.76 1 inf
1000 6.834558597427119 0.33 0.67 1 4
1100 9.411059396840542 0.27 0.73 1 4
1200 9.138474626540916 0.31 0.69 1 4
1300 11.234892254769512 0.23 0.77 1 4
1400 9.791361804583293 0.23 0.77 1 4
1500 12.948469315280263 0.35 0.65 1 4
1600 17.737046164140985 0.3 0.7 1 4
1700 18.770193385508577 0.26 0.74 1 4
1800 21.199292342012548 0.27 0.73 1 4
1900 28.541264415760253 0.31 0.69 1 4
