time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.018996747020495572 1.125 1.1439967470204955
200 0.021435223968114443 1.0 1.0214352239681144
300 0.02005878475895829 1.0 1.0200587847589584
400 0.021453218892906138 1.0 1.0214532188929062
500 0.020281070634952228 1.125 1.1452810706349523
600 0.02051167305733145 1.0 1.0205116730573314
700 0.021435223967863282 1.0 1.0214352239678632
800 0.020511673057651572 1.0 1.0205116730576516
900 0.022621649569864087 1.0 1.0226216495698641
1000 0.02051167305715291 1.0 1.0205116730571528
1100 0.02005878475852464 1.0 1.0200587847585247
1200 0.021509584271383747 1.0 1.0215095842713837
1300 0.02262164957052658 1.0 1.0226216495705265
1400 0.020511673059444513 1.0 1.0205116730594446
1500 0.019551702606731194 1.0 1.0195517026067311
1600 0.020511673057183245 1.0 1.0205116730571833
1700 0.01955170260568388 1.0 1.019551702605684
1800 0.02262164956975407 1.0 1.022621649569754
1900 0.020511673057536376 1.0 1.0205116730575363
