time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.020058784759779957 1.0 1.02005878475978
200 0.020639871859320133 1.125 1.1456398718593201
300 0.022670820492646102 1.0 1.022670820492646
400 0.02005878475848781 1.0 1.0200587847584879
500 0.021453218892785942 1.0 1.0214532188927858
600 0.020511673057290392 1.0 1.0205116730572903
700 0.02005878475827579 1.0 1.0200587847582758
800 0.02005878475844638 1.0 1.0200587847584464
900 0.02005878475811155 1.0 1.0200587847581115
1000 0.021509584272208282 1.0 1.0215095842722084
1100 0.022621649569918665 1.0 1.0226216495699187
1200 0.0226216495700568 1.0 1.0226216495700569
1300 0.021509584271560887 1.0 1.021509584271561
1400 0.020511673057442035 1.0 1.020511673057442
1500 0.02145321889236155 1.0 1.0214532188923615
1600 0.020511673058885432 1.0 1.0205116730588855
1700 0.02005878475923875 1.0 1.0200587847592388
1800 0.020511673056950706 1.0 1.0205116730569508
1900 0.021509584273277406 1.0 1.0215095842732773
