time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.5 0.5 1.0 0.6995570950257053
200 2.6664431873949512 0.77 0.23 0.33766233766233766 0.9618257197443341
300 2.3468624440749277 0.87 0.13 0.22988505747126436 1.0648444399771335
400 2.510211117716186 0.77 0.23 0.19480519480519481 1.1176916185237231
500 2.78747210721058 0.85 0.15 0.16470588235294117 1.0903495751423673
600 3.2912638926280895 0.81 0.19 0.13580246913580246 1.012778349449203
700 4.0451073437220675 0.73 0.27 0.1917808219178082 0.8163564281046762
800 5.690726820018336 0.68 0.32 0.35294117647058826 0.6713083278989896
900 7.809095529518075 0.77 0.23 0.12987012987012986 0.8626550342551736
1000 6.834558597427119 0.68 0.32 0.29411764705882354 0.7032511653865798
1100 9.411059396840542 0.76 0.24 0.18421052631578946 0.8126075623635105
1200 9.138474626540916 0.71 0.29 0.22535211267605634 0.7424759611372813
1300 11.234892254769512 0.73 0.27 0.136986301369863 0.959894123597344
1400 9.791361804583293 0.7 0.3 0.17142857142857143 0.8224042054562596
1500 12.948469315280263 0.64 0.36 0.28125 0.6866421113985628
1600 17.737046164140985 0.66 0.34 0.19696969696969696 0.7539442778083496
1700 18.770193385508577 0.72 0.28 0.2222222222222222 0.7987064753425375
1800 21.199292342012548 0.68 0.32 0.22058823529411764 0.7597778776891161
1900 28.541264415760253 0.75 0.25 0.25333333333333335 0.7434178028024827
