time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.51 0.49 1.0 0.6802547284036973
200 2.7421040565235355 0.83 0.17 0.1566265060240964 1.1988954174083941
300 1.882793633737272 0.77 0.23 0.3246753246753247 0.9639814234984776
400 2.772858777888149 0.86 0.14 0.09302325581395349 1.230017744495732
500 2.5329181022304645 0.81 0.19 0.2222222222222222 0.8715043814488591
600 4.117739696319629 0.86 0.14 0.10465116279069768 0.9351641629551429
700 4.380832051961552 0.76 0.24 0.19736842105263158 0.7969419952742607
800 5.829359536399994 0.72 0.28 0.2222222222222222 0.8259460884062583
900 6.347037580188548 0.73 0.27 0.1917808219178082 0.8032723767190533
1000 7.33980969825454 0.75 0.25 0.2 0.8227354378656984
1100 8.04430948728721 0.76 0.24 0.18421052631578946 0.8090299670822085
1200 9.178885692919733 0.74 0.26 0.1891891891891892 0.8323815094271761
1300 10.02141125272508 0.73 0.27 0.1506849315068493 0.8568211342823994
1400 10.969232996460246 0.71 0.29 0.2535211267605634 0.7548113502516793
1500 14.107996144410295 0.66 0.34 0.30303030303030304 0.6920383525437206
1600 17.59873969896794 0.66 0.34 0.19696969696969696 0.7970749503224095
1700 17.754515921791423 0.67 0.33 0.2835820895522388 0.6679247936529478
1800 25.350177485764544 0.67 0.33 0.208955223880597 0.7294109642069441
1900 29.72949731835656 0.69 0.31 0.17391304347826086 0.7457194797037877
