time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.51 0.49 1.0 0.6056635548300012
200 3.079810953374367 0.84 0.16 0.15476190476190477 1.2440790664848111
300 1.814412540347067 0.67 0.33 0.43283582089552236 0.7178753762131846
400 3.7234657162486107 0.78 0.22 0.23076923076923078 0.9926905376370356
500 3.1384747743380634 0.88 0.12 0.13636363636363635 1.110122204727106
600 3.232642471006712 0.73 0.27 0.410958904109589 0.7362001240259687
700 5.564787352270502 0.83 0.17 0.1927710843373494 0.9075418436848486
800 5.118950109503595 0.66 0.34 0.25757575757575757 0.7406987476784176
900 7.077520893285296 0.74 0.26 0.16216216216216217 0.8032332737732125
1000 7.340167014354961 0.67 0.33 0.14925373134328357 0.8854587277926486
1100 7.474474281651982 0.66 0.34 0.19696969696969696 0.7964158182791626
1200 9.324266820867209 0.76 0.24 0.18421052631578946 0.8114155242549277
1300 10.280352268085327 0.69 0.31 0.2028985507246377 0.7788058941478745
1400 12.068052808612196 0.69 0.31 0.2608695652173913 0.7316611885531545
1500 14.55438088791584 0.63 0.37 0.25396825396825395 0.7129698203961421
1600 17.082073433841305 0.73 0.27 0.2328767123287671 0.7346277206068949
1700 19.26374338919482 0.72 0.28 0.25 0.692775213249109
1800 24.44084566310321 0.77 0.23 0.16883116883116883 0.7916831631302421
1900 27.391035093672635 0.69 0.31 0.15942028985507245 0.8054910447472483
