time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.5 0.5 1.0 0.5615684913692053
200 3.321641578709456 0.8 0.2 0.2125 1.0527790436662223
300 2.144108655081635 0.81 0.19 0.2222222222222222 1.1207335675659194
400 2.385031045045099 0.79 0.21 0.25316455696202533 0.9563560058465467
500 3.2577138555637757 0.85 0.15 0.17647058823529413 1.1124497960757949
600 3.2258787764332926 0.79 0.21 0.20253164556962025 1.1112275592015313
700 3.686731043516798 0.87 0.13 0.16091954022988506 1.1684043530114485
800 3.9760733586244443 0.79 0.21 0.16455696202531644 1.0029268217095804
900 5.227012329163015 0.73 0.27 0.3287671232876712 0.666437763034589
1000 8.846837181218492 0.72 0.28 0.25 0.7308012652267663
1100 9.056276724283963 0.69 0.31 0.2463768115942029 0.7328628641322158
1200 10.132855617929744 0.81 0.19 0.2345679012345679 0.7468144738873828
