time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.85 0.15 10 inf
200 3.079810953374367 0.24 0.76 10 inf
300 1.814412540347067 0.56 0.44 5 inf
400 3.7234657162486107 0.36 0.64 5 inf
500 3.1384747743380634 0.23 0.77 5 inf
600 3.232642471006712 0.52 0.48 2 inf
700 5.564787352270502 0.27 0.73 2 inf
800 5.118950109503595 0.4 0.6 1 inf
900 7.077520893285296 0.21 0.79 1 inf
1000 7.340167014354961 0.24 0.76 1 4
1100 7.474474281651982 0.31 0.69 1 4
1200 9.324266820867209 0.28 0.72 1 4
1300 10.280352268085327 0.28 0.72 1 4
1400 12.068052808612196 0.31 0.69 1 4
1500 14.55438088791584 0.33 0.67 1 4
1600 17.082073433841305 0.37 0.63 1 4
1700 19.26374338919482 0.37 0.63 1 4
1800 24.44084566310321 0.26 0.74 1 4
1900 27.391035093672635 0.22 0.78 1 4
