time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.91 0.09 10 inf
200 2.7421040565235355 0.27 0.73 10 inf
300 1.882793633737272 0.34 0.66 5 inf
400 2.772858777888149 0.2 0.8 5 inf
500 2.5329181022304645 0.32 0.68 2 inf
600 4.117739696319629 0.19 0.81 2 inf
700 4.380832051961552 0.27 0.73 1 inf
800 5.829359536399994 0.29 0.71 1 4
900 6.347037580188548 0.28 0.72 1 4
1000 7.33980969825454 0.27 0.73 1 4
1100 8.04430948728721 0.28 0.72 1 4
1200 9.178885692919733 0.23 0.77 1 4
1300 10.02141125272508 0.2 0.8 1 4
1400 10.969232996460246 0.3 0.7 1 4
1500 14.107996144410295 0.33 0.67 1 4
1600 17.59873969896794 0.23 0.77 1 4
1700 17.754515921791423 0.34 0.66 1 4
1800 25.350177485764544 0.32 0.68 1 4
1900 29.72949731835656 0.25 0.75 1 4
