time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.9 0.1 10 inf
200 2.8317459241067797 0.27 0.73 10 inf
300 1.8830180370149736 0.47 0.53 5 inf
400 2.7444747193842973 0.3 0.7 5 inf
500 3.037993064499667 0.34 0.66 5 inf
600 3.5038494100215707 0.24 0.76 5 inf
700 3.4082649612337326 0.21 0.79 2 inf
800 4.299477636621979 0.34 0.66 1 inf
900 6.70839341591613 0.22 0.78 1 inf
1000 7.329156941200952 0.26 0.74 1 4
1100 6.959297177122796 0.31 0.69 1 4
1200 9.693996072053675 0.27 0.73 1 4
1300 10.428375973045382 0.24 0.76 1 4
1400 11.322934208307423 0.25 0.75 1 4
1500 12.552238137476392 0.35 0.65 1 4
1600 15.566689781826941 0.32 0.68 1 4
1700 21.539693886087132 0.24 0.76 1 4
1800 20.830394707279808 0.29 0.71 1 4
1900 28.313109245711747 0.21 0.79 1 4
