time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.021435223967824813 1.0 1.0214352239678248
200 0.021827500202759444 1.0 1.0218275002027595
300 0.024012205610878586 1.125 1.1490122056108787
400 0.021509584271630647 1.0 1.0215095842716306
500 0.02143522396703842 1.0 1.0214352239670383
600 0.018524449662171174 1.125 1.1435244496621713
700 0.01955170260570383 1.0 1.019551702605704
800 0.020058784758225836 1.0 1.0200587847582259
900 0.020058784758395357 1.0 1.0200587847583953
1000 0.021453218892662516 1.0 1.0214532188926626
1100 0.020058784758817633 1.0 1.0200587847588176
1200 0.022670820492130272 1.0 1.0226708204921302
1300 0.021453218891980538 1.0 1.0214532188919805
1400 0.02051167305692952 1.0 1.0205116730569295
1500 0.02262164957052072 1.0 1.0226216495705207
1600 0.020511673056876845 1.0 1.0205116730568768
1700 0.021827500203461452 1.0 1.0218275002034614
1800 0.021509584271620932 1.0 1.0215095842716209
1900 0.021435223969564317 1.0 1.0214352239695643
