time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.92 0.08 10 inf
200 2.877604828557047 0.28 0.72 10 inf
300 1.932343830784332 0.52 0.48 5 inf
400 2.954404034361004 0.28 0.72 5 inf
500 2.8187979236957115 0.38 0.62 2 inf
600 3.7577304793277664 0.24 0.76 2 inf
700 4.227187358250472 0.27 0.73 1 inf
800 6.146784742064548 0.34 0.66 1 4
900 6.925441543976378 0.29 0.71 1 4
1000 7.322009233199547 0.26 0.74 1 4
1100 8.147171917013784 0.43 0.57 1 4
1200 11.126914808474567 0.31 0.69 1 4
1300 11.303837400722324 0.23 0.77 1 4
1400 11.084421576399741 0.3 0.7 1 4
1500 14.417340920875642 0.27 0.73 1 4
1600 15.199360542850695 0.25 0.75 1 4
1700 15.3661507316145 0.33 0.67 1 4
1800 22.550529674840174 0.23 0.77 1 4
1900 27.525182210153528 0.37 0.63 1 4
