time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.93 0.07 10 inf
200 2.4055715458119074 0.31 0.69 10 inf
300 1.697673930995586 0.62 0.38 10 inf
400 2.937039186426234 0.19 0.81 10 inf
500 2.031175396551465 0.25 0.75 5 inf
600 2.5552900448121454 0.21 0.79 2 inf
700 2.6963108812204295 0.47 0.53 1 inf
800 6.009678802024991 0.3 0.7 1 inf
900 6.220727723850802 0.28 0.72 1 inf
1000 6.348418675498527 0.24 0.76 1 5
1100 7.450933240030773 0.11 0.89 1 5
1200 6.878383380228067 0.0 1.0 1 5
1300 6.922820917155428 0.0 1.0 1 5
1400 7.813717133681955 0.0 1.0 1 5
1500 8.996666078513051 0.0 1.0 1 5
1600 10.366918692205765 0.0 1.0 1 5
1700 11.55352992370259 0.0 1.0 1 5
1800 14.11641629347298 0.0 1.0 1 5
1900 18.533667023000596 0.0 1.0 1 5
