time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.94 0.06 10 inf
200 2.7568547137150063 0.26 0.74 10 inf
300 1.6694261464025448 0.51 0.49 5 inf
400 2.665297476322883 0.28 0.72 5 inf
500 2.727997420861838 0.35 0.65 2 inf
600 3.6584760254857214 0.16 0.84 2 inf
700 3.1879052933841807 0.39 0.61 1 inf
800 5.678237155755666 0.35 0.65 1 inf
900 5.757529067663738 0.08 0.92 1 inf
1000 5.151566425951671 0.11 0.89 1 5
1100 6.063120594858436 0.07 0.93 1 5
1200 6.3177710671382785 0.0 1.0 1 5
1300 6.66572440462864 0.0 1.0 1 5
1400 7.758551753090813 0.0 1.0 1 5
1500 8.666384572935819 0.0 1.0 1 5
1600 10.051580611484775 0.0 1.0 1 5
1700 12.295902165251395 0.0 1.0 1 5
1800 14.394506844968447 0.0 1.0 1 5
1900 17.91517141844901 0.0 1.0 1 5
