time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.93 0.07 10 inf
200 2.054478299431098 0.29 0.71 10 inf
300 1.4648873209963782 0.49 0.51 5 inf
400 2.4495663564735426 0.39 0.61 5 inf
500 2.535895228536047 0.31 0.69 5 inf
600 2.938826629620915 0.16 0.84 5 inf
700 2.743291126358246 0.26 0.74 2 inf
800 4.247266129227494 0.23 0.77 1 inf
900 5.13530013799197 0.0 1.0 1 5
1000 4.889399599571464 0.15 0.85 1 5
1100 5.989457202556572 0.0 1.0 1 5
1200 5.935170153928395 0.0 1.0 1 5
1300 6.958560916891434 0.0 1.0 1 5
1400 7.763405874439889 0.0 1.0 1 5
1500 9.332406147053375 0.0 1.0 1 5
1600 9.720800949458456 0.0 1.0 1 5
1700 12.42563228387714 0.0 1.0 1 5
1800 14.238309159278677 0.0 1.0 1 5
1900 18.49673533412724 0.0 1.0 1 5
