time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.02323746960598685 1.1 1.123237469605987
200 0.025203739446859497 0.9 0.9252037394468594
300 0.02321394384307005 0.9 0.92321394384307
400 0.023620965275183082 1.0 1.023620965275183
500 0.02299935663325811 0.9 0.9229993566332582
600 0.024326800308417572 0.9 0.9243268003084175
700 0.024625176920517 1.0 1.024625176920517
800 0.024548166372488057 0.8 0.8245481663724881
900 0.024548166372480956 0.8 0.824548166372481
1000 0.024548166372915518 0.8 0.8245481663729155
1100 0.02454816637248671 0.8 0.8245481663724867
1200 0.02454816637248085 0.8 0.8245481663724809
1300 0.024548166372480567 0.8 0.8245481663724806
1400 0.024548166372480553 0.8 0.8245481663724805
1500 0.02454816637248056 0.8 0.8245481663724805
1600 0.02454816637248055 0.8 0.8245481663724805
1700 0.024548166372480557 0.8 0.8245481663724805
1800 0.024548166372480557 0.8 0.8245481663724805
1900 0.024548166372480553 0.8 0.8245481663724805
