time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.88 0.12 10 inf
200 2.2768896176066975 0.42 0.58 10 inf
300 2.2031560725350365 0.16 0.84 10 inf
400 1.696903485677971 0.44 0.56 5 inf
500 2.9497940243947784 0.02 0.98 5 inf
600 1.4148418944426608 0.5 0.5 2 inf
700 4.318201572557401 0.15 0.85 2 inf
800 3.147387785550114 0.2 0.8 1 inf
900 4.927193686328251 0.08 0.92 1 5
1000 5.297856651501046 0.08 0.92 1 5
1100 6.327951215564073 0.02 0.98 1 5
1200 6.262603479703519 0.0 1.0 1 5
1300 6.594418522510394 0.0 1.0 1 5
1400 7.530914069386451 0.0 1.0 1 5
1500 9.030646938512385 0.0 1.0 1 5
1600 10.136853013173008 0.0 1.0 1 5
1700 11.918937979853288 0.0 1.0 1 5
1800 15.32909914296549 0.0 1.0 1 5
1900 18.398131119670694 0.0 1.0 1 5
