time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.5 0.5 1.0 0.6766149993125555
200 2.7568547137150063 0.87 0.13 0.19540229885057472 1.3521248988926657
300 1.6694261464025448 0.75 0.25 0.44 1.0028840591394657
400 2.665297476322883 0.84 0.16 0.2261904761904762 1.1420590750095563
500 2.727997420861838 0.78 0.22 0.24358974358974358 0.9809079414513869
600 3.6584760254857214 0.9 0.1 0.08888888888888889 1.2851062882644968
700 3.1879052933841807 0.75 0.25 0.28 0.8181520589362211
800 5.678237155755666 0.71 0.29 0.2535211267605634 0.9105140070880188
900 5.757529067663738 0.81 0.19 0.037037037037037035 1.1444803179245258
1000 5.151566425951671 0.83 0.17 0.08433734939759036 1.091572958974761
1100 6.063120594858436 0.84 0.16 0.03571428571428571 1.1754135297209987
1200 6.3177710671382785 0.85 0.15 0.0 1.2514224889558
1300 6.66572440462864 0.92 0.08 0.021739130434782608 1.2113949816073335
1400 7.758551753090813 0.89 0.11 0.12359550561797752 1.22875641272176
1500 8.666384572935819 0.88 0.12 0.125 1.2116505153631272
1600 10.051580611484775 0.91 0.09 0.0989010989010989 1.1509265205731238
1700 12.295902165251395 0.88 0.12 0.14772727272727273 1.1762828868405044
1800 14.394506844968447 0.87 0.13 0.13793103448275862 1.21042778759231
1900 17.91517141844901 0.84 0.16 0.20238095238095238 1.1497151858491967
