time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.42 0.58 1.4761904761904763 2.2426505097428162e-13
200 8317520907165.368 0.79 0.21 0.24050632911392406 2.8534137078467317e-13
300 7910779475145.639 0.76 0.24 0.3026315789473684 2.622580515327699e-13
400 10192191760163.633 0.81 0.19 0.24691358024691357 2.7870161596935905e-13
500 11178744695331.992 0.8 0.2 0.3 2.035482893347762e-13
600 17630352968018.453 0.77 0.23 0.2727272727272727 2.2395937918048873e-13
700 18292590173765.75 0.79 0.21 0.20253164556962025 2.280032702723866e-13
800 20375415732237.79 0.4 0.6 1.3 2.682298827494378e-13
900 19544097058049.516 0.0 1.0 0.0 0.0
