time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.4 0.6 1.35 2.1225243784783742e-13
200 8788258307602.283 0.75 0.25 0.32 2.4675964975055345e-13
300 9147657089378.938 0.76 0.24 0.3026315789473684 2.6065699306567884e-13
400 10254796237887.02 0.76 0.24 0.3815789473684211 2.611712016244526e-13
500 11929087861600.7 0.81 0.19 0.2716049382716049 2.584489549670611e-13
600 13885249361777.514 0.79 0.21 0.31645569620253167 1.89226974455352e-13
700 21650175143958.258 0.86 0.14 0.16279069767441862 2.5042500373126323e-13
800 18551108519079.89 0.73 0.27 0.2054794520547945 2.1442817080541105e-13
900 24447864488297.758 0.0 1.0 0.0 0.0
