time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.39 0.61 1.3846153846153846 2.0116102515926169e-13
200 9272816385521.451 0.74 0.26 0.35135135135135137 2.3359092438113294e-13
300 9663357707041.262 0.78 0.22 0.28205128205128205 2.789107975914727e-13
400 9583653178547.97 0.8 0.2 0.2 2.804534382505608e-13
500 11108917867195.006 0.83 0.17 0.20481927710843373 2.504984171898823e-13
600 14325951545986.043 0.76 0.24 0.25 2.4520736318615825e-13
700 16707480092306.41 0.57 0.43 0.6140350877192983 2.682454648269764e-13
800 17318695110488.422 0.0 1.0 0.0 0.0
