time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.98 0.02 10 inf
200 8.263753523305226 0.47 0.53 10 inf
300 8.615993413564079 0.46 0.54 10 inf
400 12.07347491713229 0.3 0.7 10 inf
500 15.581053258333085 0.22 0.78 5 inf
600 21.051811938504393 0.31 0.69 2 inf
700 38.51264517613373 0.28 0.72 1 inf
800 71.16680755447697 0.13 0.87 1 25
900 64.36951642618324 0.08 0.92 1 23
