time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.46 0.54 1.0434782608695652 0.005904030729175761
200 315.9416567747956 0.78 0.22 0.2692307692307692 0.010807874242485452
300 208.85445266748553 0.69 0.31 0.36231884057971014 0.010352803149461524
400 258.1894307541137 0.76 0.24 0.34210526315789475 0.010152388032535375
500 306.87698314067273 0.75 0.25 0.30666666666666664 0.010667808480543571
600 336.39788280353486 0.79 0.21 0.26582278481012656 0.01048993256502893
700 390.54561252161756 0.82 0.18 0.23170731707317074 0.01132489656825668
800 410.21667545567607 0.82 0.18 0.25609756097560976 0.011151391040138587
900 470.10376045956536 0.83 0.17 0.1927710843373494 0.011877671876802814
1000 496.3823249316354 0.75 0.25 0.36 0.00952501657789193
1100 694.8374771033943 0.76 0.24 0.32894736842105265 0.009587538626498141
1200 774.5464064645502 0.77 0.23 0.2727272727272727 0.010948236245714643
1300 761.9160966131758 0.85 0.15 0.2235294117647059 0.01109470017593384
1400 847.1315591404798 0.76 0.24 0.2631578947368421 0.010715725714881155
1500 993.7614961830818 0.76 0.24 0.25 0.011091644103929979
1600 1098.0340438262256 0.75 0.25 0.25333333333333335 0.01085882089849381
1700 1303.2427764162921 0.79 0.21 0.24050632911392406 0.011394767241792217
1800 1485.9462863044623 0.75 0.25 0.25333333333333335 0.010667589640204025
1900 2032.7948520482714 0.75 0.25 0.3333333333333333 0.00990660373211894
