time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.006979950556449801 1.5 1.5069799505564498
200 0.0069799505561642895 1.5 1.5069799505561643
300 0.006979950556066489 1.5 1.5069799505560666
400 0.006979950556058159 1.5 1.5069799505560582
500 0.006979950556035287 1.5 1.5069799505560353
600 0.006979950556201381 1.5 1.5069799505562014
700 0.0069799505560501985 1.5 1.5069799505560502
800 0.006979950556164683 1.5 1.5069799505561647
900 0.006979950556035298 1.5 1.5069799505560353
1000 0.006979950556370428 1.5 1.5069799505563704
1100 0.006979950556621308 1.5 1.5069799505566213
1200 0.006979950556033734 1.5 1.5069799505560337
1300 0.006979950556042154 1.5 1.5069799505560422
1400 0.006979950556449841 1.5 1.5069799505564498
1500 0.006979950556132474 1.5 1.5069799505561325
1600 0.006979950555995828 1.5 1.5069799505559958
1700 0.006979950555995824 1.5 1.5069799505559958
1800 0.006979950555995824 1.5 1.5069799505559958
1900 0.006979950555995823 1.5 1.5069799505559958
