time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.8 0.2 10 inf
200 315.9416567747956 0.33 0.67 10 inf
300 208.85445266748553 0.43 0.57 10 inf
400 258.1894307541137 0.38 0.62 10 inf
500 306.87698314067273 0.37 0.63 10 inf
600 336.39788280353486 0.34 0.66 10 inf
700 390.54561252161756 0.32 0.68 10 inf
800 410.21667545567607 0.32 0.68 10 inf
900 470.10376045956536 0.26 0.74 10 inf
1000 496.3823249316354 0.41 0.59 5 inf
1100 694.8374771033943 0.42 0.58 5 inf
1200 774.5464064645502 0.3 0.7 5 inf
1300 761.9160966131758 0.25 0.75 5 inf
1400 847.1315591404798 0.35 0.65 2 inf
1500 993.7614961830818 0.34 0.66 2 inf
1600 1098.0340438262256 0.32 0.68 2 inf
1700 1303.2427764162921 0.3 0.7 2 inf
1800 1485.9462863044623 0.38 0.62 2 inf
1900 2032.7948520482714 0.42 0.58 2 inf
