time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.44 0.56 1.0227272727272727 0.0084444337616946
200 220.8945327615154 0.73 0.27 0.3561643835616438 0.010569834293899846
300 213.5579987962584 0.8 0.2 0.225 0.011965756939542816
400 223.38614810363975 0.72 0.28 0.3611111111111111 0.009924171853068117
500 313.9339238804838 0.77 0.23 0.3246753246753247 0.009833848313744478
600 364.9261278509586 0.73 0.27 0.3835616438356164 0.009395733024649966
700 436.0274103331401 0.82 0.18 0.25609756097560976 0.010628472554634583
800 437.0958664313335 0.78 0.22 0.2564102564102564 0.011356556945426548
900 461.6109343277153 0.81 0.19 0.2222222222222222 0.011112199185241927
1000 530.5760167449807 0.76 0.24 0.19736842105263158 0.011844128764336877
1100 558.7864350376284 0.42 0.58 0.8095238095238095 0.014293105291246869
1200 519.5507511262722 0.52 0.48 0.9230769230769231 0.014293105291418601
1300 583.6126758362302 0.44 0.56 1.2727272727272727 0.014293105291485076
1400 657.5667405062859 0.48 0.52 1.0833333333333333 0.014293105291350158
1500 745.0358338542613 0.46 0.54 1.173913043478261 0.014293105291345908
1600 852.0893521643337 0.53 0.47 0.6226415094339622 0.014293105291414261
1700 990.105341549615 0.55 0.45 0.8181818181818182 0.014293105291213238
1800 1184.6279532169913 0.45 0.55 1.2222222222222223 0.014293105291406939
1900 1517.1665542411781 0.47 0.53 1.127659574468085 0.01429310529024033
