time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.49 0.51 1.0204081632653061 0.006127291350455288
200 304.4296645183179 0.76 0.24 0.32894736842105265 0.010716373596932928
300 210.63773477059019 0.75 0.25 0.3466666666666667 0.010858602057312308
400 246.16284285589484 0.75 0.25 0.38666666666666666 0.009525454257338263
500 327.07460735510506 0.71 0.29 0.29577464788732394 0.010263410910354251
600 349.652588048293 0.75 0.25 0.25333333333333335 0.011241283412680332
700 364.4421182636885 0.84 0.16 0.16666666666666666 0.012416113510431143
800 374.16389727805677 0.73 0.27 0.3150684931506849 0.010178692040918676
900 515.0279467391284 0.83 0.17 0.1927710843373494 0.011703883812028243
1000 503.75298282807785 0.82 0.18 0.2073170731707317 0.0113260975201963
1100 584.344119989153 0.81 0.19 0.30864197530864196 0.010053653275495802
1200 738.6363331321458 0.82 0.18 0.23170731707317074 0.010975283451012683
1300 760.038450247416 0.69 0.31 0.2028985507246377 0.011389486895573077
1400 825.2058011400068 0.48 0.52 0.6666666666666666 0.014276692280970005
1500 745.8923544427828 0.49 0.51 1.0408163265306123 0.014276692280980864
1600 853.0689454128096 0.56 0.44 0.7857142857142857 0.014276692281050487
1700 991.2436030539027 0.52 0.48 0.9230769230769231 0.014276692281052506
1800 1185.989845050903 0.45 0.55 1.2222222222222223 0.014276692280944994
1900 1518.9107447047152 0.39 0.61 1.564102564102564 0.014276692281067828
