time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.53 0.47 1.0188679245283019 0.005933296781611843
200 314.3832710350885 0.8 0.2 0.35 0.009644768631166766
300 234.04114144521918 0.72 0.28 0.4444444444444444 0.009524633607566576
400 280.63907358550665 0.78 0.22 0.34615384615384615 0.010073211098875991
500 309.2890817552279 0.78 0.22 0.32051282051282054 0.010441384363746947
600 343.692757779166 0.74 0.26 0.2702702702702703 0.01100556172011517
700 372.2478909397107 0.72 0.28 0.2916666666666667 0.01011972374384377
800 459.0699842904103 0.8 0.2 0.2375 0.010894799856386351
900 481.1755086305049 0.8 0.2 0.2375 0.011073053346699701
1000 532.4517273042608 0.8 0.2 0.2875 0.010536446410957422
1100 628.1376310581968 0.75 0.25 0.29333333333333333 0.010667808480868703
1200 696.1123836551565 0.79 0.21 0.21518987341772153 0.011213218579681319
1300 743.9110694095522 0.79 0.21 0.20253164556962025 0.011394143962740577
1400 824.8685192120719 0.77 0.23 0.2597402597402597 0.011318846266373271
1500 940.8092811317846 0.54 0.46 0.2777777777777778 0.014293105290985975
1600 852.0893521857913 0.48 0.52 1.0833333333333333 0.014293105291277863
1700 990.1053415590635 0.51 0.49 0.9607843137254902 0.014293105291191455
1800 1184.6279532187968 0.53 0.47 0.8867924528301887 0.014293105291167849
1900 1517.1665542665571 0.49 0.51 1.0408163265306123 0.0142931052911472
