time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.79 0.21 10 inf
200 314.3832710350885 0.34 0.66 10 inf
300 234.04114144521918 0.43 0.57 10 inf
400 280.63907358550665 0.39 0.61 10 inf
500 309.2890817552279 0.31 0.69 10 inf
600 343.692757779166 0.39 0.61 10 inf
700 372.2478909397107 0.38 0.62 10 inf
800 459.0699842904103 0.28 0.72 10 inf
900 481.1755086305049 0.3 0.7 5 inf
1000 532.4517273042608 0.27 0.73 5 inf
1100 628.1376310581968 0.35 0.65 2 inf
1200 696.1123836551565 0.32 0.68 2 inf
1300 743.9110694095522 0.29 0.71 2 inf
1400 824.8685192120719 0.28 0.72 1 inf
1500 940.8092811317846 0.0 1.0 1 2
1600 852.0893521857913 0.0 1.0 1 2
1700 990.1053415590635 0.0 1.0 1 2
1800 1184.6279532187968 0.0 1.0 1 2
1900 1517.1665542665571 0.0 1.0 1 2
