time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.8 0.2 10 inf
200 304.4296645183179 0.39 0.61 10 inf
300 210.63773477059019 0.41 0.59 10 inf
400 246.16284285589484 0.44 0.56 10 inf
500 327.07460735510506 0.34 0.66 10 inf
600 349.652588048293 0.34 0.66 10 inf
700 364.4421182636885 0.23 0.77 10 inf
800 374.16389727805677 0.38 0.62 5 inf
900 515.0279467391284 0.27 0.73 5 inf
1000 503.75298282807785 0.31 0.69 2 inf
1100 584.344119989153 0.33 0.67 2 inf
1200 738.6363331321458 0.29 0.71 2 inf
1300 760.038450247416 0.23 0.77 1 inf
1400 825.2058011400068 0.0 1.0 1 2
1500 745.8923544427828 0.0 1.0 1 2
1600 853.0689454128096 0.0 1.0 1 2
1700 991.2436030539027 0.0 1.0 1 2
1800 1185.989845050903 0.0 1.0 1 2
1900 1518.9107447047152 0.0 1.0 1 2
