time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.79 0.21 10 inf
200 292.05186052415394 0.38 0.62 10 inf
300 214.41355177504607 0.4 0.6 10 inf
400 242.89535726497382 0.37 0.63 10 inf
500 294.5578246818399 0.35 0.65 10 inf
600 350.7698821258133 0.39 0.61 10 inf
700 392.91953085145207 0.34 0.66 10 inf
800 403.7985989965823 0.33 0.67 10 inf
900 467.45973154402634 0.32 0.68 10 inf
1000 543.3501338327007 0.26 0.74 10 inf
1100 542.5833372048193 0.4 0.6 5 inf
1200 746.5443670941677 0.21 0.79 5 inf
1300 731.9444008138073 0.34 0.66 2 inf
1400 865.5332606053837 0.29 0.71 2 inf
1500 956.477127397993 0.24 0.76 1 inf
1600 1120.816389799127 0.0 1.0 1 2
1700 990.1053414768089 0.0 1.0 1 2
1800 1184.627953032353 0.0 1.0 1 2
1900 1517.166553992651 0.0 1.0 1 2
