time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.75 0.25 10 inf
200 304.4463076145486 0.39 0.61 10 inf
300 238.58644192126263 0.41 0.59 10 inf
400 257.24720684200855 0.31 0.69 10 inf
500 277.1780930229296 0.3 0.7 10 inf
600 321.8330201671406 0.36 0.64 10 inf
700 396.21600385126067 0.41 0.59 10 inf
800 462.6524290163327 0.39 0.61 10 inf
900 509.6223039043963 0.37 0.63 10 inf
1000 557.4352447140548 0.34 0.66 10 inf
1100 625.7300533353839 0.27 0.73 10 inf
1200 663.6021958129263 0.3 0.7 5 inf
1300 756.0966872983843 0.31 0.69 5 inf
1400 856.1458075487205 0.31 0.69 5 inf
1500 953.045531239969 0.5 0.5 5 inf
1600 1251.2453949568662 0.24 0.76 5 inf
1700 1223.6085447054945 0.27 0.73 2 inf
1800 1510.1445389540459 0.26 0.74 1 inf
1900 1903.5166831394297 0.0 1.0 1 2
