time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.86 0.14 10 inf
200 220.8945327615154 0.38 0.62 10 inf
300 213.5579987962584 0.29 0.71 10 inf
400 223.38614810363975 0.41 0.59 5 inf
500 313.9339238804838 0.41 0.59 5 inf
600 364.9261278509586 0.45 0.55 5 inf
700 436.0274103331401 0.29 0.71 5 inf
800 437.0958664313335 0.32 0.68 2 inf
900 461.6109343277153 0.29 0.71 2 inf
1000 530.5760167449807 0.18 0.82 1 inf
1100 558.7864350376284 0.0 1.0 1 2
1200 519.5507511262722 0.0 1.0 1 2
1300 583.6126758362302 0.0 1.0 1 2
1400 657.5667405062859 0.0 1.0 1 2
1500 745.0358338542613 0.0 1.0 1 2
1600 852.0893521643337 0.02 0.98 1 2
1700 990.105341549615 0.0 1.0 1 2
1800 1184.6279532169913 0.0 1.0 1 2
1900 1517.1665542411781 0.0 1.0 1 2
