time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.75 0.25 10 inf
200 8.243513530716509 0.14 0.86 10 inf
300 2.426319841885789 0.42 0.58 5 inf
400 4.0440476131841185 0.19 0.81 5 inf
500 3.4709393169716893 0.46 0.54 2 inf
600 5.14392097025782 0.17 0.83 2 inf
700 4.5100473187828864 0.49 0.51 1 inf
800 8.6786680616341 0.2 0.8 1 inf
900 6.260908384102402 0.38 0.62 1 2
1000 12.318049395939898 0.32 0.68 1 2
1100 11.096803737122675 0.34 0.66 1 2
1200 14.758072147577671 0.35 0.65 1 2
1300 16.322737089291643 0.4 0.6 1 2
1400 21.552090274367252 0.33 0.67 1 2
1500 22.848126392888297 0.27 0.73 1 2
1600 19.308018458321747 0.29 0.71 1 2
1700 24.45598814950378 0.37 0.63 1 2
1800 33.72832638385676 0.37 0.63 1 2
1900 39.100722707713615 0.45 0.55 1 2
