time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.47 0.53 1.0 0.24043447400172993
200 7.758160546526591 0.91 0.09 0.07692307692307693 0.9114370999352917
300 2.4766082701412646 0.73 0.27 0.4246575342465753 0.610537839856449
400 4.378081385581841 0.83 0.17 0.21686746987951808 0.7863909957480613
500 3.961813179376815 0.85 0.15 0.1411764705882353 0.880382818807943
600 4.076213336225178 0.62 0.38 0.43548387096774194 0.6231223362758352
700 6.574627325036495 0.78 0.22 0.10256410256410256 0.887318645239577
800 5.2356179429265985 0.44 0.56 0.6363636363636364 0.35680165356487503
900 14.692507195376765 0.51 0.49 0.43137254901960786 0.5579398406167964
1000 10.567208060397098 0.47 0.53 0.46808510638297873 0.5219173123907738
1100 12.68081807448285 0.43 0.57 0.4883720930232558 0.5248303392494096
1200 14.149322237381611 0.47 0.53 0.40425531914893614 0.5845473898736973
1300 14.270250059513845 0.49 0.51 0.4489795918367347 0.5406637301413133
1400 17.383578986847255 0.45 0.55 0.4 0.5887227283763434
1500 18.08810006108764 0.4 0.6 0.5 0.49060227364704795
1600 24.824595160521902 0.47 0.53 0.48936170212765956 0.5219173123918103
1700 27.114793014830045 0.44 0.56 0.5227272727272727 0.4683021703003592
1800 36.15616826073014 0.49 0.51 0.46938775510204084 0.5206391475430275
1900 41.65076984069487 0.46 0.54 0.4782608695652174 0.5332633409199965
