time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.79 0.21 10 inf
200 7.758160546526591 0.15 0.85 10 inf
300 2.4766082701412646 0.47 0.53 5 inf
400 4.378081385581841 0.26 0.74 5 inf
500 3.961813179376815 0.2 0.8 2 inf
600 4.076213336225178 0.48 0.52 1 inf
700 6.574627325036495 0.13 0.87 1 inf
800 5.2356179429265985 0.41 0.59 1 2
900 14.692507195376765 0.38 0.62 1 2
1000 10.567208060397098 0.32 0.68 1 2
1100 12.68081807448285 0.42 0.58 1 2
1200 14.149322237381611 0.36 0.64 1 2
1300 14.270250059513845 0.42 0.58 1 2
1400 17.383578986847255 0.33 0.67 1 2
1500 18.08810006108764 0.36 0.64 1 2
1600 24.824595160521902 0.4 0.6 1 2
1700 27.114793014830045 0.42 0.58 1 2
1800 36.15616826073014 0.33 0.67 1 2
1900 41.65076984069487 0.34 0.66 1 2
