time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.49 0.51 1.0 0.15021862828680282
200 12.417429659014996 0.9 0.1 0.05555555555555555 0.8988595717574084
300 2.511262860560076 0.71 0.29 0.43661971830985913 0.613384954234129
400 4.357759891920317 0.84 0.16 0.08333333333333333 0.904168354300694
500 3.4457456913624864 0.81 0.19 0.2222222222222222 0.7812388582173618
600 4.593509589624121 0.84 0.16 0.10714285714285714 0.8930191086030289
700 4.587580600966539 0.71 0.29 0.23943661971830985 0.7934419872067059
800 5.855073836544237 0.78 0.22 0.10256410256410256 0.8874917340052909
900 5.906884156166125 0.53 0.47 0.4716981132075472 0.5553988003543652
1000 10.615554763929449 0.46 0.54 0.6086956521739131 0.4266106727357109
1100 15.513766793290129 0.51 0.49 0.5686274509803921 0.44250401152492924
1200 16.781754281510842 0.42 0.58 0.5238095238095238 0.467240260615879
1300 17.852993691379478 0.44 0.56 0.38636363636363635 0.6244028937306562
1400 15.05225352509212 0.47 0.53 0.44680851063829785 0.5427940048845115
1500 19.61863160477159 0.51 0.49 0.5098039215686274 0.5002219260692301
1600 24.347199099853103 0.46 0.54 0.4782608695652174 0.5119328072840993
1700 27.6436276304261 0.42 0.58 0.5 0.49060227364583703
1800 34.51270606721242 0.49 0.51 0.4897959183673469 0.5206391475428942
1900 41.65076984070554 0.44 0.56 0.45454545454545453 0.5352024803413676
