time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.85 0.15 10 inf
200 7.772815168405971 0.15 0.85 10 inf
300 2.4577959908717277 0.58 0.42 5 inf
400 4.622596343428563 0.17 0.83 5 inf
500 3.57402125877305 0.23 0.77 2 inf
600 4.087910590828808 0.45 0.55 1 inf
700 5.835083670360978 0.2 0.8 1 inf
800 5.37114513571862 0.4 0.6 1 2
900 9.696065354669248 0.38 0.62 1 2
1000 11.495104420321221 0.37 0.63 1 2
1100 11.95725108571565 0.45 0.55 1 2
1200 22.164137657316374 0.42 0.58 1 2
1300 15.181117084535769 0.44 0.56 1 2
1400 19.573879089888386 0.42 0.58 1 2
1500 21.25351757172661 0.39 0.61 1 2
1600 24.824595160501925 0.36 0.64 1 2
1700 30.90591908994184 0.46 0.54 1 2
1800 43.140882583757765 0.38 0.62 1 2
1900 44.20081697383378 0.3 0.7 1 2
