time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.84 0.16 10 inf
200 12.415087922284515 0.17 0.83 10 inf
300 2.512166040594301 0.6 0.4 5 inf
400 5.439274089377393 0.1 0.9 5 inf
500 3.3842186600071433 0.41 0.59 2 inf
600 4.925098562286493 0.27 0.73 2 inf
700 4.9436829815949475 0.19 0.81 1 inf
800 5.338853085406097 0.36 0.64 1 2
900 9.863501334058173 0.39 0.61 1 2
1000 12.876009821493351 0.45 0.55 1 2
1100 14.164743593854627 0.43 0.57 1 2
1200 15.496876736134237 0.32 0.68 1 2
1300 14.071325076942713 0.4 0.6 1 2
1400 17.10483355120936 0.45 0.55 1 2
1500 22.199031893158608 0.38 0.62 1 2
1600 22.066306809369166 0.36 0.64 1 2
1700 26.441730776864066 0.43 0.57 1 2
1800 41.22351002444644 0.35 0.65 1 2
1900 44.20081697379988 0.39 0.61 1 2
