time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.51 0.49 1.0 0.25842629926262944
200 7.218031816217849 0.84 0.16 0.13095238095238096 0.8566324376722557
300 2.6350539159444457 0.73 0.27 0.3698630136986301 0.7305740332599759
400 3.65874535663613 0.91 0.09 0.07692307692307693 0.921329396707577
500 3.381563881746816 0.67 0.33 0.4626865671641791 0.606101502653895
600 5.920836974162202 0.83 0.17 0.14457831325301204 0.8323432131210627
700 4.9220046182124815 0.7 0.3 0.2 0.7902008879002598
800 5.879089091451428 0.49 0.51 0.3877551020408163 0.600737477933563
900 8.726458819178273 0.51 0.49 0.45098039215686275 0.5387005357685967
1000 10.944608348255105 0.48 0.52 0.5416666666666666 0.44971875084338025
1100 14.716616720869943 0.55 0.45 0.38181818181818183 0.6065628110524178
1200 12.242744617181067 0.43 0.57 0.5348837209302325 0.4563742080430397
1300 18.278064969760752 0.38 0.62 0.6578947368421053 0.3614964121626999
1400 25.999346997681673 0.45 0.55 0.4222222222222222 0.566918182878568
1500 18.78379621736136 0.47 0.53 0.46808510638297873 0.521917312389477
1600 23.335119450935274 0.46 0.54 0.6304347826086957 0.36261907182774283
1700 39.02629783102772 0.49 0.51 0.46938775510204084 0.5406637301418384
1800 31.317085134974597 0.48 0.52 0.5208333333333334 0.4701605122442327
1900 46.12259162484827 0.41 0.59 0.43902439024390244 0.5504318192130524
