time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.008264650830177656 1.4 1.4082646508301777
200 0.014862764019370261 1.2 1.21486276401937
300 0.014862764017097454 1.2 1.2148627640170975
400 0.014862764016927519 1.2 1.2148627640169276
500 0.013803858186211068 1.4 1.4138038581862111
600 0.014862764017513996 1.2 1.214862764017514
700 0.014862764021294442 1.2 1.2148627640212946
800 0.014862764017642985 1.2 1.214862764017643
900 0.014862764018888693 1.2 1.2148627640188887
1000 0.01486276401728591 1.2 1.214862764017286
1100 0.01486276402146266 1.2 1.2148627640214626
1200 0.014862764017310959 1.2 1.214862764017311
1300 0.014862764020375873 1.2 1.214862764020376
1400 0.014862764018125585 1.2 1.2148627640181258
1500 0.014862764017137783 1.2 1.2148627640171379
1600 0.014862764017586665 1.2 1.2148627640175866
1700 0.01486276401706028 1.2 1.2148627640170602
1800 0.0148627640171271 1.2 1.2148627640171272
1900 0.014862764020375233 1.2 1.2148627640203753
