time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.79 0.21 10 inf
200 12.417429659014996 0.15 0.85 10 inf
300 2.511262860560076 0.51 0.49 5 inf
400 4.357759891920317 0.17 0.83 5 inf
500 3.4457456913624864 0.3 0.7 2 inf
600 4.593509589624121 0.2 0.8 2 inf
700 4.587580600966539 0.3 0.7 1 inf
800 5.855073836544237 0.16 0.84 1 inf
900 5.906884156166125 0.34 0.66 1 2
1000 10.615554763929449 0.45 0.55 1 2
1100 15.513766793290129 0.41 0.59 1 2
1200 16.781754281510842 0.38 0.62 1 2
1300 17.852993691379478 0.31 0.69 1 2
1400 15.05225352509212 0.34 0.66 1 2
1500 19.61863160477159 0.45 0.55 1 2
1600 24.347199099853103 0.38 0.62 1 2
1700 27.6436276304261 0.44 0.56 1 2
1800 34.51270606721242 0.37 0.63 1 2
1900 41.65076984070554 0.33 0.67 1 2
