time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.49 0.51 1.0204081632653061 0.150246962558913
200 12.415087922284515 0.9 0.1 0.1 0.8985364115818208
300 2.512166040594301 0.67 0.33 0.5671641791044776 0.49142299283815466
400 5.439274089377393 0.92 0.08 0.06521739130434782 0.9206066522579099
500 3.3842186600071433 0.76 0.24 0.3026315789473684 0.7286408874104681
600 4.925098562286493 0.81 0.19 0.18518518518518517 0.8286933353477215
700 4.9436829815949475 0.76 0.24 0.11842105263157894 0.8701609401481184
800 5.338853085406097 0.48 0.52 0.4583333333333333 0.5314857964506802
900 9.863501334058173 0.45 0.55 0.5333333333333333 0.45789545540271137
1000 12.876009821493351 0.42 0.58 0.5476190476190477 0.46724026061592816
1100 14.164743593854627 0.43 0.57 0.5116279069767442 0.4791929184465238
1200 15.496876736134237 0.48 0.52 0.4166666666666667 0.5928110806566759
1300 14.071325076942713 0.5 0.5 0.44 0.5494745464839952
1400 17.10483355120936 0.45 0.55 0.5111111111111111 0.4797000008991219
1500 22.199031893158608 0.48 0.52 0.4375 0.5519275578525196
1600 22.066306809369166 0.44 0.56 0.45454545454545453 0.5352024803437881
1700 26.441730776864066 0.43 0.57 0.6046511627906976 0.4107367872411601
1800 41.22351002444644 0.48 0.52 0.5 0.49060227364630066
1900 44.20081697379988 0.52 0.48 0.4807692307692308 0.5283409100806661
