time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.83 0.17 10 inf
200 7.218031816217849 0.24 0.76 10 inf
300 2.6350539159444457 0.47 0.53 5 inf
400 3.65874535663613 0.14 0.86 5 inf
500 3.381563881746816 0.5 0.5 2 inf
600 5.920836974162202 0.23 0.77 2 inf
700 4.9220046182124815 0.29 0.71 1 inf
800 5.879089091451428 0.36 0.64 1 2
900 8.726458819178273 0.33 0.67 1 2
1000 10.944608348255105 0.41 0.59 1 2
1100 14.716616720869943 0.34 0.66 1 2
1200 12.242744617181067 0.38 0.62 1 2
1300 18.278064969760752 0.38 0.62 1 2
1400 25.999346997681673 0.33 0.67 1 2
1500 18.78379621736136 0.34 0.66 1 2
1600 23.335119450935274 0.46 0.54 1 2
1700 39.02629783102772 0.41 0.59 1 2
1800 31.317085134974597 0.32 0.68 1 2
1900 46.12259162484827 0.37 0.63 1 2
