time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.91 0.09 10 inf
200 2.6229070955279745 0.22 0.78 10 inf
300 1.5838734165985213 0.35 0.65 5 inf
400 2.341491643633888 0.46 0.54 5 inf
500 2.8536545099763595 0.27 0.73 5 inf
600 2.633113754526419 0.18 0.82 2 inf
700 3.419686046252616 0.36 0.64 1 inf
800 5.812750889405207 0.2 0.8 1 inf
900 5.898897858757238 0.14 0.86 1 4
1000 6.303352066442808 0.11 0.89 1 4
1100 6.943046915745857 0.14 0.86 1 4
1200 7.284244960325063 0.1 0.9 1 4
1300 8.56046677802861 0.17 0.83 1 4
1400 9.778647824912404 0.13 0.87 1 4
1500 10.692801048095125 0.11 0.89 1 4
1600 12.965753931445368 0.11 0.89 1 4
1700 15.296812505008852 0.12 0.88 1 4
1800 18.084252778745903 0.13 0.87 1 4
1900 24.302420009818007 0.1 0.9 1 4
