time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.9 0.1 10 inf
200 2.9096389305076107 0.31 0.69 10 inf
300 1.8462192238296333 0.5 0.5 10 inf
400 2.5430951193686147 0.21 0.79 10 inf
500 1.9424521566569406 0.33 0.67 5 inf
600 3.6980042623776903 0.1 0.9 5 inf
700 2.46257369768758 0.15 0.85 2 inf
800 3.367869532339122 0.18 0.82 1 inf
900 5.087506595500056 0.14 0.86 1 4
1000 5.605601036227183 0.08 0.92 1 4
1100 7.296761887113136 0.08 0.92 1 4
1200 7.542377000291324 0.09 0.91 1 4
1300 9.10150452798015 0.17 0.83 1 4
1400 9.519058685937125 0.13 0.87 1 4
1500 10.794516554275779 0.16 0.84 1 4
1600 13.444724886100794 0.15 0.85 1 4
1700 15.45059045304983 0.08 0.92 1 4
1800 16.247911699923613 0.09 0.91 1 4
1900 21.283060002808845 0.09 0.91 1 4
