time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.44 0.56 1.0 0.7930189181223621
200 2.352187580394237 0.91 0.09 0.08791208791208792 1.6793829173972905
300 1.344108384115064 0.68 0.32 0.4264705882352941 0.9442614111018791
400 2.830767328244096 0.84 0.16 0.15476190476190477 1.495813145967771
500 2.0828364956521472 0.78 0.22 0.20512820512820512 1.2087914389647574
600 2.9687736621313703 0.76 0.24 0.18421052631578946 1.0837704589755204
700 3.780133611311343 0.8 0.2 0.2 1.0556006643740141
800 4.400964850533314 0.89 0.11 0.0898876404494382 1.2058768806243232
900 4.347301906650813 0.84 0.16 0.14285714285714285 0.9242577046861494
1000 6.379028653036269 0.81 0.19 0.13580246913580246 0.909031879494356
1100 7.280645088081894 0.85 0.15 0.10588235294117647 1.0183438709940984
1200 7.292225938125414 0.79 0.21 0.10126582278481013 1.0080502219541556
1300 8.27502166406264 0.83 0.17 0.0963855421686747 1.0404942789244618
1400 9.032890279752626 0.84 0.16 0.13095238095238096 0.9270087437499138
1500 11.487351862541493 0.79 0.21 0.0759493670886076 0.9358268636082318
1600 13.014162450051318 0.84 0.16 0.07142857142857142 0.9623236658579686
1700 14.705738202690116 0.78 0.22 0.11538461538461539 0.9552562645533705
1800 17.725099216346347 0.85 0.15 0.12941176470588237 0.9277512603501876
1900 23.373744915404394 0.86 0.14 0.13953488372093023 0.8705313794122322
