time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.89 0.11 10 inf
200 2.212860227478629 0.25 0.75 10 inf
300 1.5663185051944835 0.28 0.72 5 inf
400 1.9479875411968195 0.4 0.6 2 inf
500 2.8507863943554463 0.14 0.86 2 inf
600 2.494414543312055 0.39 0.61 1 inf
700 5.284971361096144 0.12 0.88 1 inf
800 5.034287217436364 0.2 0.8 1 4
900 5.282821761601123 0.19 0.81 1 4
1000 6.311787810699123 0.17 0.83 1 4
1100 7.081130062830865 0.15 0.85 1 4
1200 7.6515925332899135 0.14 0.86 1 4
1300 8.732557021688505 0.12 0.88 1 4
1400 9.460471716617342 0.15 0.85 1 4
1500 10.514696759105231 0.1 0.9 1 4
1600 13.0391737885582 0.08 0.92 1 4
1700 14.131573140914169 0.14 0.86 1 4
1800 16.600863158736228 0.11 0.89 1 4
1900 21.89978731835417 0.2 0.8 1 4
