time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.89 0.11 10 inf
200 2.352187580394237 0.14 0.86 10 inf
300 1.344108384115064 0.55 0.45 5 inf
400 2.830767328244096 0.27 0.73 5 inf
500 2.0828364956521472 0.31 0.69 2 inf
600 2.9687736621313703 0.32 0.68 2 inf
700 3.780133611311343 0.32 0.68 2 inf
800 4.400964850533314 0.11 0.89 2 inf
900 4.347301906650813 0.16 0.84 1 inf
1000 6.379028653036269 0.17 0.83 1 4
1100 7.280645088081894 0.14 0.86 1 4
1200 7.292225938125414 0.07 0.93 1 4
1300 8.27502166406264 0.13 0.87 1 4
1400 9.032890279752626 0.15 0.85 1 4
1500 11.487351862541493 0.08 0.92 1 4
1600 13.014162450051318 0.08 0.92 1 4
1700 14.705738202690116 0.14 0.86 1 4
1800 17.725099216346347 0.14 0.86 1 4
1900 23.373744915404394 0.16 0.84 1 4
