time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.53 0.47 1.0 0.7111686317084805
200 2.6229070955279745 0.88 0.12 0.125 1.4251597607218918
300 1.5838734165985213 0.77 0.23 0.2597402597402597 1.1415733039817801
400 2.341491643633888 0.74 0.26 0.2972972972972973 1.0917699392852347
500 2.8536545099763595 0.86 0.14 0.16279069767441862 1.3628838407909523
600 2.633113754526419 0.86 0.14 0.09302325581395349 1.1980038762356757
700 3.419686046252616 0.67 0.33 0.26865671641791045 0.7992190803457984
800 5.812750889405207 0.77 0.23 0.16883116883116883 0.8886932759043717
900 5.898897858757238 0.79 0.21 0.12658227848101267 0.9353541288563494
1000 6.303352066442808 0.9 0.1 0.1111111111111111 0.9532325747851382
1100 6.943046915745857 0.78 0.22 0.14102564102564102 1.0194596187307265
1200 7.284244960325063 0.81 0.19 0.09876543209876543 0.9744372172021658
1300 8.56046677802861 0.8 0.2 0.125 0.961142156514792
1400 9.778647824912404 0.87 0.13 0.12643678160919541 0.9958920558991295
1500 10.692801048095125 0.85 0.15 0.11764705882352941 0.939320836452268
1600 12.965753931445368 0.79 0.21 0.08860759493670886 0.9251391354719449
1700 15.296812505008852 0.81 0.19 0.1111111111111111 0.9362848591756455
1800 18.084252778745903 0.85 0.15 0.12941176470588237 0.8922988449549312
1900 24.302420009818007 0.79 0.21 0.0759493670886076 0.9606171630130669
