time ElasticEnergy SurfaceEnergy TotalEnergy 
100 0.01862503719189779 1.1111111111111112 1.129736148303009
200 0.021936473807553716 1.1111111111111112 1.133047584918665
300 0.022766445055704625 0.8888888888888888 0.9116553339445935
400 0.020803798458796693 1.0 1.0208037984587968
500 0.023568711399726293 0.8888888888888888 0.9124576002886151
600 0.022766445050387392 0.8888888888888888 0.9116553339392763
700 0.023568711399833634 0.8888888888888888 0.9124576002887225
800 0.02239985012747003 1.0 1.02239985012747
900 0.022766445053262994 0.8888888888888888 0.9116553339421518
1000 0.023568711400021952 0.8888888888888888 0.9124576002889108
1100 0.02276644505524817 0.8888888888888888 0.911655333944137
1200 0.022766445049405167 0.8888888888888888 0.911655333938294
1300 0.022766445053555365 0.8888888888888888 0.9116553339424444
1400 0.02276644505505406 0.8888888888888888 0.9116553339439429
1500 0.023568711400076672 0.8888888888888888 0.9124576002889656
1600 0.022766445056988285 0.8888888888888888 0.9116553339458773
1700 0.022766445050664535 0.8888888888888888 0.9116553339395534
1800 0.02356871139956639 0.8888888888888888 0.9124576002884552
1900 0.022766445054773925 0.8888888888888888 0.9116553339436629
