time Beta AcceptanceRate RefusalRate Nmove Radius
100 0 0.87 0.13 10 inf
200 2.220282027152156 0.3 0.7 10 inf
300 1.6070389211890546 0.31 0.69 10 inf
400 2.0323148363701873 0.26 0.74 10 inf
500 2.256060766746587 0.32 0.68 5 inf
600 2.765608860855326 0.36 0.64 5 inf
700 3.7195813701645695 0.15 0.85 5 inf
800 2.860857824528515 0.29 0.71 2 inf
900 4.810510388021226 0.17 0.83 1 inf
1000 6.097579633114345 0.25 0.75 1 4
1100 7.522258729897472 0.12 0.88 1 4
1200 7.442321810623672 0.09 0.91 1 4
1300 8.829403551014902 0.09 0.91 1 4
1400 9.235948511937991 0.09 0.91 1 4
1500 10.554416134158986 0.11 0.89 1 4
1600 11.094862463465438 0.19 0.81 1 4
1700 15.656143218278398 0.08 0.92 1 4
1800 16.44846027589998 0.13 0.87 1 4
1900 23.39219052655216 0.11 0.89 1 4
