time Beta PositiveDERate NegativeDERate AcceptedPositiveDERate average_Positive_DE
100 0 0.48 0.52 1.0 0.8401316712983792
200 2.220282027152156 0.8 0.2 0.1875 1.404616048591498
300 1.6070389211890546 0.84 0.16 0.27380952380952384 1.3152412726774885
400 2.0323148363701873 0.86 0.14 0.1744186046511628 1.3809620099864448
500 2.256060766746587 0.82 0.18 0.2073170731707317 1.297590645518321
600 2.765608860855326 0.73 0.27 0.2191780821917808 1.10141350093342
700 3.7195813701645695 0.91 0.09 0.07692307692307693 1.6238700785053104
800 2.860857824528515 0.81 0.19 0.19753086419753085 1.089761883765653
900 4.810510388021226 0.78 0.22 0.14102564102564102 0.9669191278722443
1000 6.097579633114345 0.77 0.23 0.19480519480519481 0.879833933662189
1100 7.522258729897472 0.75 0.25 0.09333333333333334 0.9978060313642769
1200 7.442321810623672 0.86 0.14 0.08139534883720931 0.9447566165638623
1300 8.829403551014902 0.87 0.13 0.06896551724137931 1.0176183470584177
1400 9.235948511937991 0.79 0.21 0.10126582278481013 1.0089497593943753
1500 10.554416134158986 0.78 0.22 0.10256410256410256 1.0977155298881895
1600 11.094862463465438 0.84 0.16 0.15476190476190477 0.9039058789292611
1700 15.656143218278398 0.87 0.13 0.09195402298850575 1.029397997273544
1800 16.44846027589998 0.83 0.17 0.0963855421686747 0.9270196940194995
1900 23.39219052655216 0.74 0.26 0.13513513513513514 0.9315660868280805
